radiologist_key,radiologist_id,grade,speciality,is_active
1236743621,CON105,Consultant,Radiology,1
3702042118,CON109,Consultant,Radiology,1
3647610110,CON138,Consultant,Radiology,1
1816987275,CON150,Consultant,Radiology,1
3079019944,CON152,Consultant,Radiology,1
1675472437,CON165,Consultant,Radiology,1
4083205594,CON171,Consultant,Radiology,1
3502982067,CON180,Consultant,Radiology,1
3509159606,CON183,Consultant,Radiology,1
1972694544,CON192,Consultant,Radiology,1
2946865737,CON203,Consultant,Radiology,1
1762367419,CON205,Consultant,Radiology,1
2141150784,CON208,Consultant,Radiology,1
1915785912,CON209,Consultant,Radiology,1
1668129007,CON221,Consultant,Radiology,1
975826621,CON229,Consultant,Radiology,1
1443696801,CON245,Consultant,Radiology,1
2847883656,CON247,Consultant,Radiology,1
1829376376,CON252,Consultant,Radiology,1
1945383284,CON253,Consultant,Radiology,1
2563157378,CON256,Consultant,Radiology,1
1645043578,CON257,Consultant,Radiology,1
1951261038,CON258,Consultant,Radiology,1
81464977,CON263,Consultant,Radiology,1
1103310232,CON265,Consultant,Radiology,1
3652947305,CON273,Consultant,Radiology,1
3450082490,CON275,Consultant,Radiology,1
844855256,CON281,Consultant,Radiology,1
1990302328,CON288,Consultant,Radiology,1
641346093,CON289,Consultant,Radiology,1
2362942652,CON290,Consultant,Radiology,1
2187421667,CON291,Consultant,Radiology,1
1503323947,CON296,Consultant,Radiology,1
1508866051,CON300,Consultant,Radiology,1
3261484872,CON304,Consultant,Radiology,1
3270584643,CON306,Consultant,Radiology,1
1354310955,CON311,Consultant,Radiology,1
3166394651,CON312,Consultant,Radiology,1
2875930893,CON320,Consultant,Radiology,1
370033180,CON326,Consultant,Radiology,1
198430034,CON337,Consultant,Radiology,1
4017643455,CON338,Consultant,Radiology,1
1407328658,CON341,Consultant,Radiology,1
891523854,CON343,Consultant,Radiology,1
2237269145,CON345,Consultant,Radiology,1
250655083,CON346,Consultant,Radiology,1
837435762,CON348,Consultant,Radiology,1
3521298717,CON354,Consultant,Radiology,1
3120125282,CON366,Consultant,Radiology,1
526976004,CON371,Consultant,Radiology,1
3966308833,CON373,Consultant,Radiology,1
3093304308,CON374,Consultant,Radiology,1
3854659953,CON375,Consultant,Radiology,1
3140892426,CON384,Consultant,Radiology,1
1616747673,CON393,Consultant,Radiology,1
3338980157,CON399,Consultant,Radiology,1
3601259076,CON401,Consultant,Radiology,1
1616660981,CON411,Consultant,Radiology,1
2418514025,CON419,Consultant,Radiology,1
1681490472,CON423,Consultant,Radiology,1
378448756,CON425,Consultant,Radiology,1
1376029512,CON433,Consultant,Radiology,1
495417525,CON439,Consultant,Radiology,1
1185203949,CON440,Consultant,Radiology,1
3887104318,CON443,Consultant,Radiology,1
392998084,CON468,Consultant,Radiology,1
2942932462,CON474,Consultant,Radiology,1
1501239604,CON477,Consultant,Radiology,1
276377936,CON489,Consultant,Radiology,1
2360300037,CON490,Consultant,Radiology,1
748095034,CON493,Consultant,Radiology,1
184921518,CON495,Consultant,Radiology,1
2435201634,CON507,Consultant,Radiology,1
456506216,CON513,Consultant,Radiology,1
2399235421,CON514,Consultant,Radiology,1
3448994710,CON517,Consultant,Radiology,1
1149607105,CON525,Consultant,Radiology,1
3819281821,CON530,Consultant,Radiology,1
4075548640,CON543,Consultant,Radiology,1
2369137223,CON546,Consultant,Radiology,1
3542633813,CON551,Consultant,Radiology,1
138377464,CON552,Consultant,Radiology,1
2866243579,CON554,Consultant,Radiology,1
705324872,CON555,Consultant,Radiology,1
4006570935,CON558,Consultant,Radiology,1
3453520971,CON573,Consultant,Radiology,1
24431885,CON580,Consultant,Radiology,1
2847831944,CON589,Consultant,Radiology,1
1021397136,CON596,Consultant,Radiology,1
2775844421,CON607,Consultant,Radiology,1
3746159494,CON623,Consultant,Radiology,1
2079300192,CON629,Consultant,Radiology,1
1570215999,CON633,Consultant,Radiology,1
3200208277,CON635,Consultant,Radiology,1
1551917157,CON639,Consultant,Radiology,1
1170071714,CON644,Consultant,Radiology,1
3203128958,CON646,Consultant,Radiology,1
619155794,CON651,Consultant,Radiology,1
1679088579,CON654,Consultant,Radiology,1
1520664972,CON659,Consultant,Radiology,1
1462701811,CON660,Consultant,Radiology,1
4236058186,CON664,Consultant,Radiology,1
3952841725,CON668,Consultant,Radiology,1
978794992,CON674,Consultant,Radiology,1
2584442232,CON675,Consultant,Radiology,1
379817933,CON677,Consultant,Radiology,1
2781188033,CON679,Consultant,Radiology,1
18926431,CON687,Consultant,Radiology,1
3082975364,CON691,Consultant,Radiology,1
3438997512,CON697,Consultant,Radiology,1
2474506688,CON704,Consultant,Radiology,1
806052847,CON710,Consultant,Radiology,1
3731681672,CON712,Consultant,Radiology,1
2837545822,CON714,Consultant,Radiology,1
443946288,CON719,Consultant,Radiology,1
1806522535,CON721,Consultant,Radiology,1
3783578266,CON724,Consultant,Radiology,1
3792542106,CON727,Consultant,Radiology,1
2048562503,CON733,Consultant,Radiology,1
4017814485,CON748,Consultant,Radiology,1
2662916960,CON756,Consultant,Radiology,1
723800206,CON758,Consultant,Radiology,1
1456460057,CON762,Consultant,Radiology,1
614554558,CON774,Consultant,Radiology,1
1203183638,CON775,Consultant,Radiology,1
2036565702,CON779,Consultant,Radiology,1
2922070030,CON794,Consultant,Radiology,1
2981334187,CON795,Consultant,Radiology,1
236003342,CON802,Consultant,Radiology,1
4095025365,CON809,Consultant,Radiology,1
2403399844,CON816,Consultant,Radiology,1
3076901493,CON826,Consultant,Radiology,1
93209624,CON840,Consultant,Radiology,1
328236662,CON841,Consultant,Radiology,1
3647294629,CON844,Consultant,Radiology,1
3453813338,CON858,Consultant,Radiology,1
3836994679,CON864,Consultant,Radiology,1
3216455520,CON866,Consultant,Radiology,1
3357975962,CON868,Consultant,Radiology,1
1460169690,CON871,Consultant,Radiology,1
886265968,CON883,Consultant,Radiology,1
439737852,CON884,Consultant,Radiology,1
1455212911,CON889,Consultant,Radiology,1
353209393,CON898,Consultant,Radiology,1
3612399009,CON899,Consultant,Radiology,1
3165536681,CON902,Consultant,Radiology,1
2932019865,CON919,Consultant,Radiology,1
2379508581,CON943,Consultant,Radiology,1
902046506,CON947,Consultant,Radiology,1
2072203280,CON948,Consultant,Radiology,1
1402659449,CON953,Consultant,Radiology,1
790644404,CON954,Consultant,Radiology,1
1323071120,CON955,Consultant,Radiology,1
757095448,CON970,Consultant,Radiology,1
2667922081,CON972,Consultant,Radiology,1
4267971558,CON973,Consultant,Radiology,1
2780800181,CON993,Consultant,Radiology,1
2834742111,CON994,Consultant,Radiology,1
2716141234,DR100,Unknown,Radiology,1
2724365441,DR127,Unknown,Radiology,1
4262539836,DR134,Unknown,Radiology,1
1604566905,DR138,Unknown,Radiology,1
609811843,DR144,Unknown,Radiology,1
280796835,DR145,Unknown,Radiology,1
4289516535,DR155,Unknown,Radiology,1
26774577,DR162,Unknown,Radiology,1
3234924981,DR164,Unknown,Radiology,1
436507967,DR167,Unknown,Radiology,1
3297134969,DR168,Unknown,Radiology,1
1913860325,DR176,Unknown,Radiology,1
2350434229,DR190,Unknown,Radiology,1
2168108165,DR191,Unknown,Radiology,1
1568210469,DR194,Unknown,Radiology,1
3341671863,DR206,Unknown,Radiology,1
3574353902,DR209,Unknown,Radiology,1
3302364090,DR210,Unknown,Radiology,1
2982041491,DR211,Unknown,Radiology,1
888525033,DR212,Unknown,Radiology,1
1389017898,DR218,Unknown,Radiology,1
3506212961,DR224,Unknown,Radiology,1
1240257153,DR227,Unknown,Radiology,1
969173398,DR230,Unknown,Radiology,1
1041571170,DR236,Unknown,Radiology,1
613192352,DR237,Unknown,Radiology,1
1197049087,DR243,Unknown,Radiology,1
1147158415,DR244,Unknown,Radiology,1
3410379582,DR247,Unknown,Radiology,1
3328250009,DR251,Unknown,Radiology,1
64573206,DR257,Unknown,Radiology,1
3488028329,DR259,Unknown,Radiology,1
1107363438,DR268,Unknown,Radiology,1
2747119380,DR270,Unknown,Radiology,1
480537896,DR276,Unknown,Radiology,1
1407220274,DR282,Unknown,Radiology,1
669843458,DR283,Unknown,Radiology,1
723196453,DR285,Unknown,Radiology,1
3780090166,DR287,Unknown,Radiology,1
3160572489,DR295,Unknown,Radiology,1
2398769085,DR305,Unknown,Radiology,1
2108483996,DR307,Unknown,Radiology,1
1850066637,DR316,Unknown,Radiology,1
2603635976,DR325,Unknown,Radiology,1
945082579,DR330,Unknown,Radiology,1
1786690394,DR331,Unknown,Radiology,1
4128860503,DR339,Unknown,Radiology,1
1305423795,DR345,Unknown,Radiology,1
3794010969,DR347,Unknown,Radiology,1
505827674,DR357,Unknown,Radiology,1
4186470816,DR358,Unknown,Radiology,1
2703324354,DR378,Unknown,Radiology,1
1358605336,DR379,Unknown,Radiology,1
2315676803,DR384,Unknown,Radiology,1
2899885013,DR386,Unknown,Radiology,1
3117317778,DR387,Unknown,Radiology,1
1111928067,DR391,Unknown,Radiology,1
4171972086,DR395,Unknown,Radiology,1
167016002,DR403,Unknown,Radiology,1
